ds,y,sentiment_avg,sales_volume
2018-04-09,49976.94,3.1875,288.0
2018-04-10,27462.1,3.039647577092511,227.0
2018-04-11,38318.13,3.0371621621621623,296.0
2018-04-12,33981.38,3.057046979865772,298.0
2018-04-13,29605.91,3.106382978723404,235.0
2018-04-14,18776.7,3.134502923976608,171.0
2018-04-15,30171.31,2.957692307692308,260.0
2018-04-16,39973.23,3.180379746835443,316.0
2018-04-17,33800.27,3.265573770491803,305.0
2018-04-18,38231.89,2.996732026143791,306.0
2018-04-19,42853.34,3.091168091168091,351.0
2018-04-20,27176.04,2.937777777777778,225.0
2018-04-21,18839.36,3.1676646706586826,167.0
2018-04-22,27171.0,3.0474137931034484,232.0
2018-04-23,37275.41,3.140672782874618,327.0
2018-04-24,42219.08,3.144262295081967,305.0
2018-04-25,40621.4,3.1772151898734178,316.0
2018-04-26,31263.86,3.176470588235294,289.0
2018-04-27,39552.35,3.232142857142857,280.0
2018-04-28,22511.91,3.0319148936170213,188.0
2018-04-29,19756.83,3.108108108108108,185.0
2018-04-30,35203.64,3.267857142857143,280.0
2018-05-01,32695.0,3.153284671532847,274.0
